dutch,english,category,example_dutch,example_english
Aangenaam!,Nice to meet you!,General,,
aardappel,potato,General,Zijn aardappelen groenten of fruit?,Are potatoes vegetables or fruit?
acht,eight,General,acht koekjes,eight cookies
alsjeblieft,please,General,,
appel,apple,General,Hoeveel kosten de appels?,How much do the apples cost?
augustus,August,General,,
banaan,banana,General,Hoeveel kosten de bananen?,How much do the bananas cost?
Belgisch,Belgian,General,Ik ben Belgisch en zij is Nederlands.,I am Belgian and she is Dutch.
België,Belgium,General,Hij komt uit België.,He's from Belgium.
bestellen,to order,General,Kan ik bestellen?,Can I order?
bier,beer,General,"Voor mij een biertje, alsjeblieft.","A beer for me, please."
blauw,blue,General,Ik wil een blauwe tas kopen.,I want to buy a blue bag.
boodschappen,groceries,General,,
boodschappen doen,to do grocery shopping,General,Hij doet boodschappen in de supermarkt.,He does his grocery shopping at the supermarket.
boterham,a slice of bread,General,Hij eet een boterham met kaas.,He eats a slice of bread with cheese.
brood,bread,General,"Mag ik wat brood, alstublieft?","Can I have some bread, please?"
broodje,sandwich,General,"Mag ik een broodje kaas en koffie, alsjeblieft?","Can I have a cheese sandwich and coffee, please?"
bruin,brown,General,Ik heb een bruine tas.,I have a brown bag.
China,China,General,"Jullie komen uit China, jullie zijn Chinees.","You are from China, you are Chinese."
dankjewel,thank you,General,,
de apotheek,the pharmacy,General,Ik bestel medicijnen in de apotheek.,I order medication in the pharmacy.
de bril,the glasses,General,Haar bril ligt op de tafel.,Her glasses are on the table.
de broer,the brother,General,Dit is mijn broer Joris. Hij woont in Spanje.,This is my brother Joris. He's living in Spain.
de dochter,the daughter,General,Mijn dochter heet Floor.,My daughter's name is Floor.
de hond,the dog,General,Mijn oma heeft een hond.,My grandma has a dog.
de kat,the cat,General,Mijn opa heeft drie katten.,My grandad has three cats.
de moeder,the mother,General,Mijn moeder heet Miriam.,My mother's name is Miriam.
de oma,the grandma,General,Mijn oma woont in Lelystad.,My grandma's living in Lelystad.
de opa,the grandad,General,Mijn opa heet Jim.,My grandad's name is Jim.
de pinpas,the bank card,General,Hij steekt zijn pinpas in zijn portemonnee.,He puts his bank card in his wallet.
de portemonnee,the wallet,General,Wat zit er in je tas? - Mijn portemonnee!,What's in your bag? - My wallet!
de rekening,the bill,General,"Mag ik de rekening, alstublieft?","Can I have the bill, please?"
de sleutels,the keys,General,De sleutels liggen op de kast.,The keys are on the cupboard.
de straat,the street,General,Hij woont aan de Kerkstraat.,He lives on Kerkstraat.
de tas,the bag,General,Mijn zus zet haar tas op tafel.,My sister puts her bag on the table.
de universiteit,the university,General,Rianne studeert Frans aan de universiteit in Utrecht.,Rianne studies French at the university in Utrecht.
de vader,the father,General,Mijn vader komt uit Maastricht.,My father's from Maastricht.
de Verenigde Staten,the United States,General,"Wij komen uit de Verenigde Staten, wij zijn Amerikaans.","We are from the United States, we're American."
de zoon,the son,General,Mijn zoon heet Daniel.,My son's name is Daniel.
de zus,the sister,General,Dit is mijn zus Karen. Ze is dokter.,This is my sister Karen. She's a doctor.
dertien,thirteen,General,Ik ga naar verdieping dertien.,I'm going to floor thirteen.
dichtstbijzijnde,nearest,General,,
Dit is...,This is...,General,,
dorp,village,General,Zij komen uit een dorp.,They are from a village.
dorst,thirsty,General,Ik heb dorst.,I'm thirsty.
drie,three,General,drie honden,three dogs
drinken,to drink,General,Hij drinkt graag wijn. Het is zijn favoriete drank.,He likes drinking wine. It's his favourite drink.
druk,busy,General,Het restaurant is druk.,The restaurant is busy.
Duitsland,Germany,General,"Zij komt uit Duitsland, zij is Duits.","She's from Germany, she's German."
duur,expensive,General,De appels zijn duur.,The apples are expensive.
een beetje,a little,General,Ik spreek een beetje Nederlands.,I speak a little Dutch.
elf,eleven,General,Hij is elf jaar oud.,He's eleven years old.
En jij?,And you?,General,,
En met jou?,How about you?,General,,
Engeland,England,General,"Hij komt uit Engeland, hij is Engels.","He's from England, he's English."
eten,to eat,General,Hij eet een broodje.,He eats a sandwich.
februari,February,General,,
Frankrijk,France,General,"Ik kom uit Frankrijk, ik ben Frans.","I'm from France, I'm French."
friet,fries (Belgium),General,We eten elke week frieten.,We eat fries every week. (Belgium)
fruit,fruit,General,Hij eet veel fruit.,He eats a lot of fruit.
ga links,go left,General,,
ga rechtdoor,go straight ahead,General,Ga rechtdoor. Daar is de supermarkt.,Go straight ahead. The supermarket is there.
ga rechts,go right,General,,
geel,yellow,General,Wat is je lievelingskleur? - Mijn lievelingskleur is geel.,What's your favourite colour? - My favourite colour is yellow.
geen probleem,no problem,General,,
gescheiden,divorced,General,Mijn moeder en vader zijn gescheiden.,My mother and father are divorced.
gesloten,closed,General,De school is gesloten.,The school is closed.
getrouwd,married,General,Dit is mijn broer. Hij woont in Spanje en hij is getrouwd.,This is my brother. He's living in Spain and he's married.
goedemiddag,good afternoon,General,"Goedemiddag, mevrouw Jansen.","Good afternoon, Ms Jansen."
Goedemiddag!,Good afternoon,General,,
goedemorgen,good morning,General,"Goedemorgen, mevrouw Visser.","Good morning, Ms Visser."
goedenavond,good evening,General,"Goedenavond, meneer De Vries.","Good evening, Mr De Vries."
goedkoop,cheap,General,Het T-shirt is goedkoop.,The T-shirt is cheap.
grijs,grey,General,Haar lievelingstas is grijs.,Her favourite bag is grey.
groen,green,General,Hij draagt altijd een groene bril.,He always wears green glasses.
groente,vegetable,General,Zij eet veel groente.,She eats a lot of vegetables.
groot,"big, large",General,Het huis is groot.,The house is big.
haar vader,her father,General,Haar vader woont in Nijmegen.,Her father lives in Nijmegen.
ham,ham,General,Het meisje eet een boterham met ham.,The girl eats a slice of bread with ham.
heerlijk,delicious,General,Zij vindt chocolade heerlijk.,She finds chocolate delicious.
het adres,the address,General,Het adres is Herengracht 98.,The address is Herengracht 98.
het appartement,the apartment,General,Zij woont in een appartement aan de Herengracht.,She lives in an apartment on Herengracht.
het centrum,the city centre,General,Het centrum van Amsterdam is druk.,The city centre of Amsterdam is busy.
Het eten is lekker.,The food is tasty.,General,,
Het gaat goed.,I'm good.,General,,
het hotel,the hotel,General,Er is één hotel in het dorp.,There is one hotel in the village.
het huis,the house,General,Ik woon in een huis in Amsterdam.,I live in a house in Amsterdam.
het mobieltje,the mobile phone,General,Mijn mobieltje zit altijd in mijn tas.,My mobile phone is always in my bag.
