text,translation,strength,example_translated,example,audio,image
's avonds,in the evening,Strong,Do you want to meet up in the evening?,Wil je 's avonds afspreken?,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135317.mp3,https://cdn.busuu.com/media/resized/entity/720/savonds_1609927613_720.jpg
's middags,in the afternoon,Strong,The party is in the afternoon.,Het feest is 's middags.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333027.mp3,https://cdn.busuu.com/media/resized/entity/720/smiddags_1609927484_720.jpg
Aangenaam!,Nice to meet you!,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_51495215511650960957_1650960957_720.jpg
aangifte goederen,goods to declare,Weak,17 litres of beer must be declared at customs.,17 liter bier moet je bij de douane aangeven.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615722204.mp3,https://cdn.busuu.com/media/resized/entity/720/aangiftegoederen_1613465411_720.jpg
aankomst,arrival,Weak,The arrival time of the train from Bruges is 13:10.,De aankomsttijd van de trein uit Brugge is 13.10 uur.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613671704.mp3,https://cdn.busuu.com/media/resized/entity/720/aankomst_1612342152_720.jpg
aardappel,potato,Strong,Are potatoes vegetables or fruit?,Zijn aardappelen groenten of fruit?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326349.mp3,https://cdn.busuu.com/media/resized/entity/720/aardappel_1606823600_720.jpg
acht,eight,Strong,eight cookies,acht koekjes,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564101.mp3,https://cdn.busuu.com/media/resized/entity/720/acht_koekjes_1605013530_720.jpg
afspreken,to meet up,Strong,Can you (plural) meet up tomorrow?,Kunnen jullie morgen afspreken?,https://cdn.busuu.com/media/resized/audio/florisbusuuaudiostr___1611214721.mp3,https://cdn.busuu.com/media/resized/entity/720/afspreken_1609405932_720.jpg
alleen,alone,Strong,Do you go to the cinema alone?,Ga jij alleen naar de bioscoop?,https://cdn.busuu.com/media/resized/audio/a_l_str___1612349040.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610307579_720.jpg
alsjeblieft,please,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/alsjeblieft_1604293260_720.jpg
altijd,always,Strong,I always work at the weekend.,Ik werk altijd in het weekend.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611136296.mp3,https://cdn.busuu.com/media/resized/entity/720/altijd_1610515850_720.jpg
annuleren,to cancel,Strong,You can cancel your reservation free of charge.,U kunt uw reservering zonder extra kosten annuleren.,https://cdn.busuu.com/media/resized/audio/a_l_str___1615662562.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613461160_720.jpg
appel,apple,Strong,How much do the apples cost?,Hoeveel kosten de appels?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331904.mp3,https://cdn.busuu.com/media/resized/entity/720/apple_1606982763_720.jpg
augustus,August,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/vakantieaugustus_1608194347_720.jpg
banaan,"banana
",Strong,How much do the bananas cost?,Hoeveel kosten de bananen?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326651.mp3,https://cdn.busuu.com/media/resized/entity/720/banana_1606982580_720.jpg
beleg,sandwich filling,Medium,My favourite sandwich filling is cheese.,Mijn favoriete beleg is kaas.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807615.mp3,https://cdn.busuu.com/media/resized/entity/720/beleg_1606820463_720.jpg
Belgisch,Belgian,Strong,I am Belgian and she is Dutch.,Ik ben Belgisch en zij is Nederlands.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564361.mp3,https://cdn.busuu.com/media/resized/entity/720/belgisch_1605175849_720.jpg
België,Belgium,Strong,He's from Belgium.,Hij komt uit België.,https://cdn.busuu.com/media/resized/audio/florisenglishcourseaudioa_l_str____1611247448.mp3,https://cdn.busuu.com/media/resized/entity/720/belgie_1605172551_720.jpg
Ben je jarig?,Is it your birthday?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/benjejarig_1608641549_720.jpg
bestellen,to order,Strong,Can I order?,Kan ik bestellen?,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807431.mp3,https://cdn.busuu.com/media/resized/entity/720/bestellen_1606722140_720.jpg
